,hi-en,hi,len-hi,len-hi-en
1,o,ओ,1,1
2,m,म्म्म,5,1
3,e,ए,1,1
4,a,आ,1,1
5,r,र,1,1
6,u,उ,1,1
8,l,ल,1,1
9,mu,मु,2,2
10,zo,ज़ो,2,2
11,ma,म,1,2
12,oo,ओओ,2,2
13,pi,पी,2,2
14,le,ले,2,2
15,ya,या,2,2
16,ga,गा,2,2
17,re,रे,2,2
18,oy,ओय,2,2
19,bo,बोओ,3,2
20,si,सी,2,2
21,he,हे,2,2
22,us,उस,2,2
23,me,मे,2,2
24,ve,वे,2,2
25,sh,ष्ह्ह्ह्ह,9,2
26,tu,तू,2,2
28,lo,लो२,3,2
29,to,तो२,3,2
30,ke,के२,3,2
33,ra,र,1,2
34,do,दो,2,2
35,ji,जी,2,2
36,su,सु,2,2
37,ek,एक,2,2
38,is,इस,2,2
39,ap,आप,2,2
40,ah,आह,2,2
41,om,ओम,2,2
42,lu,लू,2,2
43,ha,हा,2,2
44,ri,री,2,2
45,un,ऊं,2,2
46,ro,रो,2,2
47,ur,उर,2,2
48,as,आस,2,2
49,ot,ओट,2,2
50,ao,आओ,2,2
52,cr,ऱ,1,2
53,ui,उइ,2,2
54,an,आं,2,2
55,sa,सा,2,2
56,mo,मो,2,2
57,pa,पा,2,2
58,uh,उह,2,2
59,ka,का,2,2
60,ag,आग,2,2
61,ru,रू,2,2
62,ta,ता,2,2
63,or,ओर,2,2
64,la,ल,1,2
65,nu,नु,2,2
66,ba,बा,2,2
67,yu,यू,2,2
68,in,इन,2,2
69,ai,ऐ,1,2
70,eh,एह,2,2
71,aj,आज,2,2
72,ho,हो२,3,2
73,we,वे,2,2
74,ud,उड़,2,2
75,wo,वो,2,2
76,ni,नी,2,2
78,de,दे२,3,2
79,hu,हु,2,2
80,so,सो,2,2
81,di,दी,2,2
82,da,दा,2,2
83,gi,गी,2,2
84,ja,जा,2,2
85,ne,ने,2,2
86,va,वा,2,2
87,ye,ये,2,2
88,ki,की,2,2
89,se,से,2,2
90,vo,वो,2,2
91,ae,आए,2,2
92,pe,पे,2,2
93,ab,अब,2,2
94,hi,ही,2,2
95,ko,को,2,2
96,li,ली,2,2
97,na,न,1,2
98,ik,इक,2,2
99,jo,जो,2,2
100,sar,सर,2,3
101,zid,ज़िद,3,3
102,log,लोग,3,3
103,dum,दुम,3,3
104,bap,बाप,3,3
105,roz,रोज़,3,3
106,kis,किस,3,3
107,are,अरे,3,3
108,nur,नूर,3,3
109,gum,गुम,3,3
110,gun,गुन,3,3
111,hey,हेय,3,3
112,dan,ड्डां,5,3
113,haq,हक़,2,3
114,jul,जुल,3,3
115,bal,बल,2,3
116,aji,अजी,3,3
117,ugr,उग्र,4,3
118,jie,जीए,3,3
119,bah,बह,2,3
120,sat,सात,3,3
121,kud,ख़ुद,3,3
122,tay,तय,2,3
123,hon,हों,3,3
124,naz,नाज़,3,3
125,pie,पिए,3,3
126,uda,उड़ा,3,3
127,vot,वोट,3,3
128,hun,हूँ,3,3
129,mem,मेम,3,3
130,akh,अख,2,3
131,kuk,कूक,3,3
132,kat,कट,2,3
134,gad,गाड़,3,3
136,sut,सूट,3,3
137,mal,माल,3,3
139,mud,मुड़,3,3
140,nar,नार,3,3
141,min,मीन,3,3
142,lal,लाल,3,3
143,pal,पल,2,3
144,cha,छा,2,3
145,kam,काम,3,3
146,dha,ध,1,3
147,and,अन्द,4,3
148,aja,आजा,3,3
149,dur,दूर,3,3
150,but,बूट,3,3
151,ayo,आयो,3,3
152,vad,वाद,3,3
153,bas,बस,2,3
154,ghi,घी,2,3
155,gul,गुल,3,3
156,pam,पम,2,3
157,bol,बोल,3,3
159,che,छे,2,3
160,ude,उड़े,3,3
161,aye,आये,3,3
162,kha,खा,2,3
163,tir,तीर,3,3
164,umr,उम्र,4,3
165,soi,सोई,3,3
166,roi,रोई,3,3
167,jat,जट्ट,4,3
168,dip,दीप,3,3
169,mel,मेल,3,3
170,age,आगे,3,3
171,die,दिए,3,3
172,nis,निस,3,3
173,gar,गर,2,3
175,lut,लूट,3,3
176,oye,ओये,3,3
177,aju,आजू,3,3
178,tak,तक,2,3
179,nak,नाक,3,3
180,sab,सब,2,3
182,jit,जीत,3,3
183,nim,नीम,3,3
184,isi,इसी,3,3
185,pae,पाए,3,3
186,nag,नाग,3,3
187,aur,और,2,3
188,dam,दम,2,3
189,gir,गिर,3,3
190,ran,रण,2,3
191,ruk,रुक,3,3
192,kal,कल,2,3
193,hil,हिल,3,3
194,bar,बार,3,3
195,gam,ग़म,2,3
196,taj,ताज,3,3
198,son,सोन,3,3
200,elo,एलो,3,3
201,tal,टाल,3,3
202,kak,ख़ाक,3,3
203,des,देस,3,3
204,mai,माई,3,3
205,yun,यूँ,3,3
206,sho,शो,2,3
207,keh,केह,3,3
208,yah,यह,2,3
209,adi,आड़ी,3,3
210,tin,तीन,3,3
211,hoe,होए,3,3
212,ane,आने,3,3
213,kaq,ख़ाक़,3,3
214,hua,हुआ,3,3
215,mol,मोल,3,3
216,huk,हूक,3,3
217,rut,रुत,3,3
218,hoy,होय,3,3
219,yai,यई,2,3
220,pad,पड़,2,3
221,ati,आती,3,3
222,yad,याद,3,3
223,jeb,जेब,3,3
224,git,गीत,3,3
225,ped,पेड़,3,3
226,ram,राम,3,3
227,bad,बाद,3,3
228,jor,जोर,3,3
229,aru,अरु,3,3
230,iza,ईज़ा,3,3
231,sah,सह,2,3
232,hoi,होई,3,3
233,lab,लब,2,3
234,usi,उसी,3,3
235,gin,गिन,3,3
236,ami,अमी,3,3
237,jag,जग,2,3
238,mar,मर,2,3
239,tri,त्रि,4,3
240,hum,हुम,3,3
241,dho,धो,2,3
242,gao,गाओ,3,3
243,kos,कोस,3,3
244,asl,अस्ल,4,3
245,hai,है,2,3
246,tha,था,2,3
247,mui,मुई,3,3
248,ruh,रूह,3,3
249,ant,अंत,3,3
250,kab,कब,2,3
251,han,हां,3,3
252,nan,नन,2,3
253,kya,क्या,4,3
254,hor,होर,3,3
255,lai,लाई,3,3
256,san,सन,2,3
257,jam,जम,2,3
258,avo,आवो,3,3
259,mir,मीर,3,3
260,rab,रब,2,3
261,uth,उठ,2,3
262,pya,प्या,4,3
263,sha,शा,2,3
264,soe,सोए,3,3
265,pet,पेट,3,3
266,yan,याँ,3,3
267,nir,नीर,3,3
268,nav,नाव,3,3
269,ugi,उगि,3,3
270,bit,बीत,3,3
271,lin,लीं,3,3
272,len,लें,3,3
273,gya,ग्या,4,3
274,tod,तोड़,3,3
275,roe,रोए,3,3
276,lag,लग,2,3
277,dar,डर,2,3
278,moh,मोह,3,3
279,rit,रित,3,3
280,mas,मस,2,3
281,tan,तान,3,3
282,use,उसे,3,3
283,tez,तेज़,3,3
284,upe,उपे,3,3
285,ote,ओते,3,3
286,koi,कोई,3,3
287,lao,लाओ,3,3
288,jao,जाओ,3,3
289,muh,मुह,3,3
290,lie,लिए,3,3
291,jis,जिस,3,3
292,jod,जोड़,3,3
293,rok,रोक,3,3
294,lun,लूँ,3,3
295,der,देर,3,3
296,den,दें,3,3
297,tar,तार,3,3
298,dub,डूब,3,3
299,tis,तीस,3,3
300,bue,बूए,3,3
301,ayi,आयी,3,3
302,ret,रेत,3,3
303,ang,अंग,3,3
304,jia,जिआ,3,3
305,laj,लाज,3,3
306,pia,पिआ,3,3
307,ata,आता,3,3
308,aun,आऊँ,3,3
309,sis,सीस,3,3
310,nit,नित,3,3
311,sam,सम,2,3
312,jae,जाए,3,3
313,koe,कोए,3,3
314,jin,जिन,3,3
315,saj,सज,2,3
316,pak,पाक,3,3
317,mil,मिल,3,3
318,the,थे,2,3
319,sir,सिर,3,3
320,not,नोट,3,3
321,anu,अणु,3,3
322,dal,डाल,3,3
323,man,मान,3,3
324,sej,सेज,3,3
325,sak,साख़,3,3
326,hal,हाल,3,3
327,veg,वेग,3,3
328,mit,मिट,3,3
329,mor,मोर,3,3
330,vah,वह,2,3
331,rup,रूप,3,3
332,dor,डोर,3,3
333,dag,दाग,3,3
334,ana,आना,3,3
335,jad,जड़,2,3
336,sai,सै,2,3
337,nil,नील,3,3
338,izi,ईज़ी,3,3
340,udi,उड़ी,3,3
341,tut,टूट,3,3
342,gae,गए,2,3
343,gai,गैइ,3,3
344,pap,पाप,3,3
345,zor,ज़ोर,3,3
346,men,में,3,3
347,iko,इक्को,5,3
348,pag,पाग,3,3
349,sau,सौ,2,3
350,jan,जाँ,3,3
351,rah,रह,2,3
352,oha,ओह,2,3
353,mod,मोड़,3,3
354,aba,अब,2,3
355,boe,बोए,3,3
356,ham,हम,2,3
357,var,वार,3,3
358,dir,दिर,3,3
359,tap,ताप,3,3
360,nun,नूँ,3,3
361,din,दिन,3,3
362,rat,रात,3,3
363,pat,पत,2,3
364,kah,कह,2,3
365,raz,राज़,3,3
366,dhi,धी,2,3
367,rog,रोग,3,3
368,aya,आया,3,3
369,har,हर,2,3
370,ada,अदा,3,3
371,tam,ताम,3,3
372,oae,ओअए,3,3
373,nal,नाल,3,3
374,roy,रोय,3,3
375,pas,पास,3,3
376,may,मय,2,3
377,ise,इसे,3,3
378,jab,जब,2,3
379,nae,नए,2,3
380,kai,कै,2,3
381,dun,दूं,3,3
382,til,तिल,3,3
383,sae,साए,3,3
384,dav,दाव,3,3
385,ake,आके,3,3
386,kar,कर,2,3
387,sal,साल,3,3
388,ali,अली,3,3
389,ani,आनी,3,3
390,bin,बिन,3,3
391,rag,राग,3,3
392,par,पर,2,3
393,baz,बाज़,3,3
394,hay,हाय,3,3
395,dil,दिल,3,3
396,aha,अहा,3,3
397,ala,अल्ला,5,3
398,kho,खो,2,3
399,ila,इला,3,3
400,odh,ओढ़,2,3
401,sur,सुर,3,3
402,ban,बन,2,3
403,gaz,ग़ज़,2,3
404,ate,आते,3,3
405,oho,ओहो,3,3
406,voh,वोह,3,3
407,hui,हुई,3,3
408,dua,दुआ,3,3
409,baj,बाज,3,3
410,mom,मोम,3,3
411,kun,ख़ून,3,3
412,ris,रिस,3,3
413,tim,टिम,3,3
414,raj,राज,3,3
415,kie,किए,3,3
416,tab,तब,2,3
417,kub,ख़ूब,3,3
418,maf,माफ़,3,3
419,koy,कोय,3,3
420,dol,डोल,3,3
421,hue,हुए,3,3
422,nai,नई,2,3
423,saz,साज़,3,3
424,bhi,भी,2,3
425,ras,रस,2,3
426,sun,सुन,3,3
427,yar,यार,3,3
428,bag,बाग़,3,3
429,hir,हीर,3,3
430,pai,पाई,3,3
431,jud,जुड़,3,3
432,chu,छू,2,3
433,nam,नाम,3,3
434,mat,मत,2,3
435,das,डस,2,3
436,thi,थी,2,3
437,bat,बात,3,3
438,aen,आएं,3,3
439,ain,आईं,3,3
440,sip,सीप,3,3
441,uge,उगे,3,3
442,kul,कुल,3,3
443,jal,जल,2,3
444,bam,बम,2,3
445,yug,युग,3,3
446,chi,चि,2,3
447,lae,लाए,3,3
