,hi-en,hi,len-hi,len-hi-en
0,o,ओ,1,1
1,m,म्म्म,5,1
2,e,ए,1,1
3,a,आ,1,1
4,r,र,1,1
5,u,उ,1,1
6,l,ल,1,1
7,i,ई,1,1
8,q,क्यू,4,1
9,di,दी,2,2
10,da,दा,2,2
11,gi,गी,2,2
12,va,वा,2,2
13,ne,ने,2,2
14,so,सो,2,2
15,ye,ये,2,2
16,ja,जा,2,2
17,hu,हु,2,2
18,ud,उड़,2,2
19,ni,नी,2,2
20,wo,वो,2,2
21,ki,की,2,2
22,ho,हो२,3,2
23,aj,आज,2,2
24,eh,एह,2,2
25,ai,ऐ,1,2
26,in,इन,2,2
27,yu,यू,2,2
28,ba,बा,2,2
29,de,दे२,3,2
30,se,से,2,2
31,hi,ही,2,2
32,pe,पे,2,2
33,up,अप,2,2
34,my,माए,3,2
35,by,बाइ,3,2
36,be,बे,2,2
37,vi,वी,2,2
38,ay,आय,2,2
39,bu,बू,2,2
40,ar,आर,2,2
41,of,ओफ़,2,2
42,ae,आए,2,2
43,te,ते,2,2
44,ei,एइ,2,2
45,en,एं,2,2
46,jo,जो,2,2
47,ik,इक,2,2
48,na,न,1,2
49,li,ली,2,2
50,ko,को,2,2
51,nu,नु,2,2
52,ab,अब,2,2
53,ku,कु,2,2
54,or,ओर,2,2
55,oe,ओए,2,2
56,ru,रू,2,2
57,ke,के२,3,2
58,to,तो२,3,2
59,lo,लो२,3,2
60,tu,तू,2,2
61,sh,ष्ह्ह्ह्ह,9,2
62,ve,वे,2,2
63,us,उस,2,2
64,he,हे,2,2
65,si,सी,2,2
66,bo,बोओ,3,2
67,oy,ओय,2,2
68,re,रे,2,2
69,ga,गा,2,2
70,ya,या,2,2
71,le,ले,2,2
72,mu,मु,2,2
73,zo,ज़ो,2,2
74,ma,म,1,2
75,oo,ओओ,2,2
76,pi,पी,2,2
77,ta,ता,2,2
78,do,दो,2,2
79,ji,जी,2,2
80,me,मे,2,2
81,ek,एक,2,2
82,ag,आग,2,2
83,ka,का,2,2
84,uh,उह,2,2
85,pa,पा,2,2
86,mo,मो,2,2
87,su,सु,2,2
88,an,आं,2,2
89,ui,उइ,2,2
90,cr,ऱ,1,2
91,ao,आओ,2,2
92,ot,ओट,2,2
93,sa,सा,2,2
94,ur,उर,2,2
95,as,आस,2,2
96,ap,आप,2,2
97,ah,आह,2,2
98,om,ओम,2,2
99,ha,हा,2,2
100,lu,लू,2,2
101,is,इस,2,2
102,ri,री,2,2
103,un,ऊं,2,2
104,ro,रो,2,2
105,dun,दूं,3,3
106,ise,इसे,3,3
107,sae,साए,3,3
108,kai,कै,2,3
109,nae,नए,2,3
110,jab,जब,2,3
111,til,तिल,3,3
112,may,मय,2,3
113,tam,ताम,3,3
114,roy,रोय,3,3
115,nal,नाल,3,3
116,oae,ओअए,3,3
117,ada,अदा,3,3
118,har,हर,2,3
119,aya,आया,3,3
120,rog,रोग,3,3
121,dav,दाव,3,3
122,pas,पास,3,3
123,ake,आके,3,3
124,hui,हुई,3,3
125,sal,साल,3,3
126,kun,ख़ून,3,3
127,mom,मोम,3,3
128,baj,बाज,3,3
129,dua,दुआ,3,3
130,dhi,धी,2,3
131,voh,वोह,3,3
