,hi-en,hi
0,hajagiree,हजगिरी
1,chekaanv,चेकॉव
2,spinagaarn,स्पिनगार्न
3,medal,मेडल
4,chetthinaad,चेत्तिनाद
5,hari,हरी
6,bhoomi,भूमि
7,yaanhmsan,थॉम्सन
8,hanumaan,हनुमान
9,abhinetri,अभिनेत्री
10,to,टू
11,sikkim,सिक्किम
12,abdus,अब्दुस
13,salam,सलाम
14,alvar,अलवर
15,kapil,कपिल
16,dev,देव
17,baaflayer,बार्फ्लेयर
18,capilano,कॅपीलानो
19,suspension,सस्पेंशन
20,graham,ग्रैहम
21,stephenson,स्टीवंसन
22,auckland,अकलैंड
23,art,आर्ट
24,museum,म्युज़ियम
25,kamlesh,कमलेश
26,effi,एफी
27,awards,अवार्ड्‍स
28,warren,वॉरेन
29,visneski,विसनेस्की
30,brus,ब्रूस
31,aigar,एगर
32,jaun,जॉन
33,miltan,मिल्टन
34,ai,आई
35,yaad,याद
36,teri,तेरी
37,samad,समद
38,ernaa,एर्ना
39,shree,श्री
40,ram,राम
41,bharat,भरत
42,milap,मिलाप
43,roci,रॉक्सी
44,kedy,केडी
45,madihah,मदिहाह
46,aahlad,आह्लाद
47,bornham,बॉर्नहेम
48,fort,फोर्ट
49,erma,एर्मा
50,mera,मेरा
51,lalkar,ललकार
52,apoorva,अपूर्वा
53,civilla,सिविला
54,ranchi,रांची
55,kapila,कपिला
56,modesti,मोडेस्टी
57,elan,ऐलन
58,vels,वेल्स
59,abhishok,अभिशोक
60,bedard,बेदर्द
61,jamana,ज़माना
62,kya,क्या
63,jaane,जाने
64,aaditya,आदित्य
65,savitshri,सवितश्री
66,abot,एबॉट
67,india,इंडिया
68,irfan,इरफान
69,samedemose,सेंटीमोस
70,chaarsee,चांसी
71,mahafhooj,महाभुज
72,gardi,ग्रंडी
73,kofare,कॉफरे
74,d,डी
75,perood,पेरोट
76,kovlin,कॉलिन
77,crofd,क्रोफ्ट
78,tirupati,तिरुपती
79,bhatti,भट्टी
80,gurdwara,गुरूद्वारा
81,betma,बेटमा
82,sahib,साहिब
83,zapata,ज़पाटा
84,bhanwar,भंवरसिंह
85,passenger,राही
86,gambler,जुआरी
87,adas,आदस
88,ilenaabaad,इलेनाबाद
89,varjeeniya,वर्जीनिया
90,reel,रील
91,intikaam,इंतिक़ाम
92,kee,की
93,aag,आग
94,maijar,मैज़र
95,arawalee,अरावली
96,rod,रोड
97,thayer,थायेर
98,sentaems,सेंटाइम्स
99,lut,लुत
100,shyama,श्यामा
101,wilkin,विल्किन
102,darvin,डार्विन
103,yatim,यतीम
104,john,जॉन
105,pan,पेन
106,gua,गुआ
107,sipinkuga,सिपीकुंग
108,sekhva,सेखवा
109,aajam,आज़म
110,shakti,शक्ति
111,gordhan,गोरधन
112,chandresh,चंद्रेश
113,water,वाटर
114,polo,पोलो
115,aakhiri,आखिरी
116,adalat,अदालत
117,university,यूनिवर्सिटी
118,christopher,क्रिस्टोफर
119,reeve,रीव
120,amriteshaya,अमृतेशय
121,vermillion,वर्मिलियन
122,bellerophon,बेलरोफोन
123,nasa,नासा
124,for,फॉर
125,exceptional,एक्सेप्शनल
126,off,ऑफ
127,colorado,कोलोरैडो
128,denvik,दैन‍िक
129,bhaskar,भास्कर
130,dugirala,दुगिराला
131,pyaar,प्यार
132,ki,की
133,baji,बाज़ी
134,kanak,कनक
135,maulana,मौलाना
136,scientific,साइंटीफिक
137,achievement,अचीवमेंट
138,abdul,अब्दुल
139,tawwab,तव्वाब
140,palm,पाम
141,spring,स्प्रिंग
142,henry,हेनरी
143,williams,विलियम्स
144,bodan,बोडन
145,kalam,कलाम
146,azaad,आज़ाद
147,patekar,पाटेकर
148,rebaba,रेबाबा
149,shark,शार्क
150,naugty,नॉटी
151,boy,बॉय
152,mesosphere,मीसोस्फीयर
153,dhanshyan,घनश्याम
154,sun,सन
155,peolo,पेओलो
156,me,मी
157,sudesh,सुदेश
158,track,ट्रैक
159,end,एण्ड
160,field,फील्ड
161,ghamand,घमंड
162,juma,जुमा
163,centurion,सेंचूरियन
164,khalid,खालिद
165,mashoodah,मशूद
166,anberdekr,आंबर्डेकर
167,ghaare,घारे
168,perin,पेरीन
169,over,ओवर
170,imposhsible,असंभव
171,mevaaraam,मेवाराम
172,divarath,दिवारथ
173,guljar,गुल्जार
174,andrew,एण्ड्रयू
175,flintoff,फ्लिंटॉफ
176,wilmet,विल्मेट
177,blonde,गोरा
178,vanburn,वैनबर्न
179,holder,होल्डर
180,season,ऋतु
181,treacherous,बेवफ़ा
182,chaina,चाइना
183,national,नेशनल
184,rajendramohan,राजेंद्रमोहन
185,sadanand,सदानन्द
186,dholpur,धौलपुर
187,nasrin,नसरीन
188,zamaana,ज़माना
189,order,ऑडर
190,sikatuna,सिकाटुना
191,kaala,काला
192,dhandha,धंधा
193,petroleum,पेट्रोलियम
194,barnet,बार्नेट
195,vedgya,वेदज्ञ
196,parwez,परवेज़
197,gohpur,गोहपुर
198,chunnilaal,चुन्नीलाल
199,nadere,नदेरे
200,ireland,आयलैंड
201,bansuri,बांसुरी
202,sewan,सेवन
203,gore,गोरे
204,log,लोग
205,rock,रॉक
206,lake,लेक
207,baspist,बैपटिस्ट
208,pakararima,पाकाराइमा
209,mahadevi,महादेवी
210,verma,वर्मा
211,jatan,जतन
212,braveward,ब्रेवार्ड
213,mails,माइल्स
214,aenaadaayar,एनाडायर
215,katak,कटक
216,zyoorik,ज़्यूरिक
217,faainaanshiyal,फ़ाइनेंशियल
218,sarvisez,सर्विसेज़
219,mishelin,मिशेलिन
220,varta,वर्ट
221,gullapoor,गुल्लपूर
222,brita,ब्रिट
223,gaaye,गाए
224,vittal,व्हिट्टल
225,empero,इंपेरो
226,jaagran,जागरण
227,samprprith,सम्प्रीत
228,florus,फ्लोरस
229,julia,जुलिया
230,child,चाइल्ड
231,corporation,कॉर्पोरेशन
232,bank,बैंक
233,dalel,दलेल
234,river,रिवर
235,phoenix,फ़ोनिक्स
236,swanna,सवान्ना
237,chandril,चंद्रिल
238,hisham,हिशाम
239,syed,सय्यद
240,kirmani,किरमानी
241,balawali,बलावाली
242,siddheshwari,सिद्धेश्वरी
243,varship,वर्शिप
244,sentar,सेंटर
245,kaiptan,कैप्टन
246,bairee,बैरी
247,shikhkar,शिखर
248,par,पर
249,gurjeet,गुरजीत
250,aelsaas,एल्सास
251,seviyar,सेवियर
252,baanchar,बॉचर
253,memoriyal,मेमोरियल
254,praais,प्राइज़
255,valt,वॉल्ट
256,dijani,डिज़्नी
