,hashtag,word_segment,Segmented_Sent
0,#samsungs21ultra,"{'samsung', 'ultra', 's21'}",samsung ultra s21
1,#wearables,{'wearables'},wearables
2,#samsunga82,"{'samsung', 'a82'}",samsung a82
3,#intensivechemotherapy,"{'intensive', 'chemotherapy'}",intensive chemotherapy
4,#experiencethefuture,"{'the', 'experience', 'future'}",the experience future
5,#x60pro,"{'vivo', 'x60pro'}",vivo x60pro
6,#insurance,{'insurance'},insurance
7,#narendra,{'narendra'},narendra
8,#special,{'special'},special
9,#latest,{'latest'},latest
10,#neuralnetworks,"{'networks', 'neural'}",networks neural
11,#eth,{'eth'},eth
12,#trophy,{'trophy'},trophy
13,#mikepence,"{'mike', 'pence'}",mike pence
14,#phonepart,"{'part', 'phone'}",part phone
15,#aktuonlineexams,"{'a', 'ktu', 'online', 'exams'}",a ktu online exams
16,#greatapecov,"{'great', 'apec', 'ov'}",great apec ov
17,#aktu,"{'a', 'ktu'}",a ktu
18,#wellsfargo,"{'fargo', 'wells'}",fargo wells
19,#unrooted,{'unrooted'},unrooted
20,#nse,{'nse'},nse
21,#sbi#drt#hrera#fir,{'sbidrthrerafir'},sbidrthrerafir
22,#nyay,"{'n', 'yay'}",n yay
23,#cleantech,"{'clean', 'tech'}",clean tech
24,#mobilephonesaleonflipkart,"{'flip', 'mobile', 'kart', 'on', 'phone', 'obi', 'sale'}",flip mobile kart on phone obi sale
25,#chamoli,"{'oli', 'cham'}",oli cham
26,#pufc,"{'ufc', 'p'}",ufc p
27,#thankyou,"{'you', 'thank'}",you thank
28,#mobileapp,"{'mobile', 'app', 'obi'}",mobile app obi
29,#nhsnoths2,{'nhsnoths2'},nhsnoths2
30,#readingfc,"{'reading', 'fc'}",reading fc
31,#endtheneglect,"{'neglect', 'end', 'the'}",neglect end the
32,#workplacesafetyact,"{'workplace', 'safety', 'act'}",workplace safety act
33,#connectivity,"{'Emporia', 'connectivity'}",Emporia connectivity
34,#new,{'new'},new
35,#cloud,{'cloud'},cloud
36,#ocsc,{'ocsc'},ocsc
37,#rmas,{'rmas'},rmas
38,#myanmarneedhelp,"{'need', 'myanmar', 'help'}",need myanmar help
39,#itela47,{'itela47'},itela47
40,#digitaltransformation,"{'digital', 'transformation'}",digital transformation
41,#javascript,{'javascript'},javascript
42,#ramaphosa,"{'rama', 'a', 'phos'}",rama a phos
43,#bologuruji,"{'bolo', 'guruji'}",bolo guruji
44,#iphone13,{'iphone13'},iphone13
45,#starvation,"{'Plum', 'starvation'}",Plum starvation
46,#crypto,{'crypto'},crypto
47,#oneplus,"{'one', 'XOLO', 'plus', 'OnePlus'}",one XOLO plus OnePlus
48,#shareubs,"{'share', 'ubs'}",share ubs
49,#naturelovers,"{'nature', 'lovers'}",nature lovers
50,#realme7,"{'real', 'me7', 'realme'}",real me7 realme
51,#technology,{'technology'},technology
52,#bidenregret,"{'regret', 'biden'}",regret biden
53,#edtech,{'edtech'},edtech
54,#finteract2021,"{'f', '2021', 'interact'}",f 2021 interact
55,#apple,{'apple'},apple
56,#vivox60proplus,"{'vivox60proplus', 'vivo'}",vivox60proplus vivo
57,#apy,{'apy'},apy
58,#onlineteaching,"{'teaching', 'online'}",teaching online
59,#bloggers,{'bloggers'},bloggers
60,#lcfc,{'lcfc'},lcfc
61,#theatrical,{'theatrical'},theatrical
62,#trading,{'trading'},trading
63,#rrb9revisepreresult,"{'rrb9revisepre', 'result'}",rrb9revisepre result
64,#greatprice,"{'great', 'price'}",great price
65,#alarm,{'alarm'},alarm
66,#mufc,{'mufc'},mufc
67,#saudiarabia,"{'saudi', 'arabia'}",saudi arabia
68,#tigray,{'tigray'},tigray
69,#5gphone,"{'5g', 'phone'}",5g phone
70,#bbbscamalert,"{'alert', 'scam', 'bbb'}",alert scam bbb
71,#bestcommoditybooks,"{'best', 'books', 'commodity'}",best books commodity
72,#depression,{'depression'},depression
