,hi-en,hi,len-hi,len-hi-en
1,n,न,1,1
2,l,ल,1,1
3,g,जी,2,1
4,o,ओ,1,1
6,q,क्यू,4,1
7,h,ह,1,1
8,r,आर,2,1
10,a,ए,1,1
11,s,एस,2,1
12,m,म्म्म,5,1
13,b,बी॰,3,1
14,j,जे,2,1
15,e,ए,1,1
16,u,उ,1,1
17,i,मैं,3,1
18,y,या,2,1
19,d,डी,2,1
20,p,प,1,1
21,c,री,2,1
22,x,एक्स,4,1
23,w,डब्ल्यू,7,1
24,v,व्,2,1
25,k,के,2,1
26,f,एफ,2,1
27,tv,दीव,3,2
28,ba,बा,2,2
29,yh,यह,2,2
30,ri,री,2,2
31,lt,एलटी,4,2
32,ro,रो,2,2
33,ui,उइ,2,2
34,bo,बो,2,2
35,fe,फे,2,2
37,ji,जी,2,2
39,jb,जब,2,2
40,id,ईद,2,2
41,ac,आ१सी,4,2
42,no,अमावस,5,2
43,by,बोकर,4,2
44,co,सीओ,3,2
45,yo,यो,2,2
46,ht,एचटी,4,2
47,gi,जी,2,2
48,kr,के,2,2
49,dh,ढ़,2,2
50,ty,तेरी,4,2
51,ae,ए,1,2
52,uv,यूवी,4,2
53,ab,अब,2,2
54,mu,मु,2,2
55,df,डीएफ,4,2
56,en,इन,2,2
57,ad,ई,1,2
58,ul,उल,2,2
59,ay,आय,2,2
60,al,अल,2,2
61,ur,उर,2,2
62,zo,ज़ो,2,2
63,as,जैसे,4,2
64,ka,का,2,2
65,us,अमेरिका,7,2
66,ov,ऑव,2,2
67,ci,सीआई,4,2
68,uh,उह,2,2
69,oy,ओय,2,2
70,pl,पीएल,4,2
71,of,ऑफ,2,2
72,pi,पी,2,2
74,un,ऊं,2,2
75,vo,वो,2,2
76,ip,आईपी,4,2
77,re,रे,2,2
78,ma,माँ,3,2
79,ar,आर,2,2
80,bn,बन,2,2
81,mj,एम॰जे॰,6,2
82,ja,जा,2,2
83,na,न,1,2
84,oh,ओ,1,2
85,ke,के,2,2
86,le,ले,2,2
87,on,ऑन,2,2
88,cn,सीएन,4,2
89,ye,ये,2,2
90,ny,एनवाई,5,2
91,wo,वो,2,2
92,dd,डीडी,4,2
93,ea,एक,2,2
94,ti,टू,2,2
95,jo,जो,2,2
96,vp,वी०,3,2
97,da,द,1,2
98,th,थ़,2,2
99,yu,यू,2,2
100,nu,नु,2,2
101,tn,टन,2,2
102,se,से,2,2
103,po,पो,2,2
104,vc,वीसी,4,2
105,so,सो,2,2
106,el,एक,2,2
107,du,दूर,3,2
108,he,ही,2,2
109,ud,उद,2,2
110,ni,नी,2,2
111,au,और,2,2
112,bc,ई,1,2
113,te,गए,2,2
114,bg,बीजी,4,2
115,hu,हूँ,3,2
116,pb,पी॰बी॰,6,2
117,uu,यूयू,4,2
118,sh,श,1,2
119,ku,कु,2,2
120,ko,को,2,2
121,op,ओप,2,2
122,sp,सपा,3,2
123,ha,हा,2,2
124,aj,आज,2,2
125,km,कम,2,2
126,eh,एह,2,2
127,in,इन,2,2
128,ph,पीएच,4,2
129,me,मी,2,2
130,ub,ऊब,2,2
131,ei,एइ,2,2
132,oe,ओए,2,2
133,si,सी,2,2
134,ws,डबल्यू॰एस॰,10,2
135,mn,में,3,2
136,ak,एक,2,2
137,xp,ऍक्सपी,6,2
138,ms,एम्एस,5,2
139,dk,ड६के,4,2
142,lo,लो,2,2
143,ee,ई,1,2
144,mm,मिमी,4,2
145,er,एयर,3,2
146,kh,ख,1,2
147,ek,एक,2,2
148,ot,ओट,2,2
149,em,एक,2,2
150,jp,जे॰पी॰,6,2
151,vu,वीं,3,2
152,bb,बीबी,4,2
154,ce,सीई,3,2
155,cr,ऱ,1,2
156,va,वा,2,2
157,ap,आप,2,2
158,mi,मी,2,2
159,ah,आह,2,2
160,fl,एफ़एल,5,2
161,mr,श्री,4,2
162,wu,डब्ल्यूयू,9,2
163,dg,डिग्री,6,2
164,et,एट,2,2
165,ai,आई,2,2
167,ch,च,1,2
168,an,एन,2,2
169,vh,वह,2,2
170,we,हम,2,2
171,mo,मो,2,2
172,my,मैं,3,2
173,ag,आग,2,2
174,je,के,2,2
175,it,इट,2,2
176,uk,ब्रिटेन,7,2
177,de,डी,2,2
178,ne,ने,2,2
179,do,दो,2,2
180,fo,रोग,3,2
181,cv,सीवी,4,2
182,ow,ऑव,2,2
183,ya,या,2,2
184,tp,टीपी,4,2
185,vi,वी,2,2
186,tm,तिलकरत्ने,9,2
188,ho,हो,2,2
189,aa,आ,1,2
190,sw,स्व,3,2
191,jj,जे॰जे॰,6,2
192,bi,भी,2,2
193,ll,॥,1,2
195,or,ओर,2,2
196,be,हो,2,2
197,ra,र,1,2
198,ao,आओ,2,2
199,is,है,2,2
200,pr,पर,2,2
201,la,ला,2,2
202,ii,ली,2,2
203,di,दी,2,2
204,ve,वे,2,2
205,hi,है,2,2
206,pa,पा,2,2
207,il,इल,2,2
208,st,सेंट,4,2
211,pe,पे,2,2
212,ik,इक,2,2
213,ga,गा,2,2
214,ki,की,2,2
215,bu,बू,2,2
216,dj,डीजे,4,2
217,ta,ता,2,2
218,sr,से,2,2
219,dr,डॉ॰,3,2
220,up,अप,2,2
221,ru,रू,2,2
222,oo,ओओ,2,2
223,om,ओम,2,2
224,su,सू,2,2
225,ax,एक्स,4,2
226,cm,सीएम,4,2
227,fa,एफए,3,2
228,to,टू,2,2
229,at,अत,2,2
230,go,बढ़ो,3,2
231,ed,एड,2,2
232,ks,के॰एस॰,6,2
233,tt,टीटी,4,2
234,bh,भी,2,2
235,es,ईसं,3,2
236,af,ऑफ,2,2
237,cw,सीडब्ल्यू,9,2
238,li,ली,2,2
239,ej,एक,2,2
240,sa,सा,2,2
241,pj,पी॰जे॰,6,2
242,lu,लु,2,2
243,tu,टू,2,2
244,pt,पी॰टी॰,6,2
245,wal,वाल,3,3
246,pat,पॅट,3,3
247,msf,एमएसएफ,6,3
248,tma,टीएमए,5,3
249,acp,एसीपी,5,3
250,ruz,शूज़,3,3
251,gan,गान,3,3
252,sva,स्व,3,3
253,zaa,ज़ा,2,3
254,yhi,यही,3,3
255,yul,यूल,3,3
256,gel,जेल,3,3
257,liz,लिज़,3,3
258,cau,सीएयू,5,3
259,ved,वेड,3,3
260,gem,जीईएम,5,3
261,jog,जोग,3,3
262,nor,नोओर,4,3
263,cam,कैम,3,3
